Genes	description
Cd6	CD6 antigen
Gm24841	NA
Gm24145	predicted gene, 24145
Casc5	NA
Gm16570	40S ribosomal protein S23 pseudogene
2410066E13Rik	NA
9430073C21Rik	Riken cDNA 9430073C21 gene
1600014K23Rik	NA
RP23-448C3.1	NA
Evc2	EvC ciliary complex subunit 2
Fzd1	frizzled class receptor 1
Gm10059	ribosomal protein S29 pseudogene
Gm12648	predicted gene 12648
Gm20836	predicted gene, 20836
Bag3	BCL2-associated athanogene 3
Olfr632	NA
Olfr1340	NA
Gm16458	odorant binding protein Ia pseudogene
Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2
1810062G17Rik	RIKEN cDNA 1810062G17 gene
Gm21560	predicted gene, 21560
Gm24533	predicted gene, 24533
Igkv1-132	immunoglobulin kappa variable 1-132
Galntl5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5
Gm14844	NA
Zfp239	zinc finger protein 239
Gpr162	G protein-coupled receptor 162
Bckdha	branched chain ketoacid dehydrogenase E1, alpha polypeptide
9530048J24Rik	NA
Vmn2r46	vomeronasal 2, receptor 46
Mir183	microRNA 183
Gm22094	NA
Ncf4	neutrophil cytosolic factor 4
Trav9-2	T cell receptor alpha variable 9-2
Gm23380	NA
mmu-mir-130c	NA
Gm8019	ribosomal protein S7 pseudogene
Gm22642	NA
Olfr548-ps1	NA
Rfng	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
Adam24	ADAM metallopeptidase domain 24
Gata4	GATA binding protein 4
Gm24732	predicted gene, 24732
Fau-ps2	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived), pseudogene 2
Gm22950	predicted gene, 22950
Olfr1094	NA
Gm22449	predicted gene, 22449
9530059O14Rik	RIKEN cDNA 9530059O14 gene
Dhrs7b	dehydrogenase/reductase 7B
1700022P22Rik	NA
Gm25758	predicted gene, 25758
Stk36	serine/threonine kinase 36
Rfx7	regulatory factor X, 7
Naa30	N(alpha)-acetyltransferase 30, NatC catalytic subunit
Igkv12-98	immunoglobulin kappa variable 12-98
4933416I08Rik	RIKEN cDNA 4933416I08 gene
C430002E04Rik	NA
Mir344d-2	microRNA 344d-2
Olfr1107	NA
Snx6	sorting nexin 6
Cox7c	cytochrome c oxidase subunit 7C
Pcnxl3	NA
Sec14l1	SEC14-like lipid binding 1
Gm5814	Morf4 family associated protein 1 pseudogene
Gm9791	calcium regulated heat stable protein 1 pseudogene
Gm25083	NA
Gm6632	C1GALT1-specific chaperone 1 pseudogene
Lox	lysyl oxidase
Ighv10-1	immunoglobulin heavy variable 10-1
Gm22677	NA
Gm14615	zinc finger protein 7 pseudogene
Slc35e2	solute carrier family 35, member E2
Homer1	homer scaffolding protein 1
Ap4s1	adaptor-related protein complex AP-4, sigma 1
Mybl2	myeloblastosis oncogene-like 2
Mir881	microRNA 881
Gna12	guanine nucleotide binding protein, alpha 12
Gm13325	predicted gene 13325
Copa	coatomer protein complex subunit alpha
Foxc2	forkhead box C2
Prkaca	protein kinase, cAMP dependent, catalytic, alpha
Gm9961	predicted gene 9961
Gm15954	NA
RP23-292F17.5	NA
Ak9	adenylate kinase 9
2610035D17Rik	RIKEN cDNA 2610035D17 gene
Vmn1r16	vomeronasal 1 receptor 16
Gm12151	predicted gene 12151
Nek5	NIMA (never in mitosis gene a)-related expressed kinase 5
Dlgap2	DLG associated protein 2
Defa-ps17	defensin, alpha, pseudogene 17
Dlst	dihydrolipoamide S-succinyltransferase
Gal3st4	galactose-3-O-sulfotransferase 4
Vmn1r112	vomeronasal 1 receptor 112
Gm16061	40S ribosomal protein S2 pseudogene
Rundc1	RUN domain containing 1
Usp17la	ubiquitin specific peptidase 17-like A
Cyb5d2	cytochrome b5 domain containing 2
Gm14746	SET translocation pseudogene
Exd1	exonuclease 3'-5' domain containing 1
Vmn2r20	vomeronasal 2, receptor 20
Gm13899	metal response element binding transcription factor 2 pseudogene
Stx19	syntaxin 19
Gm20818	predicted gene, 20818
Gm11970	60S ribosomal protein L36a-like
Epb4.1l1	NA
Cyp3a59	cytochrome P450, family 3, subfamily a, polypeptide 59
Gm17126	NA
Gprin2	G protein regulated inducer of neurite outgrowth 2
Olfr508	NA
Gm26316	predicted gene, 26316
Zfp125	zinc finger protein 125
Gm26437	predicted gene, 26437
Gm20475	NA
Gm10010	predicted gene 10010
Gm22810	predicted gene, 22810
Gm9732	predicted gene 9732
Rnf213	ring finger protein 213
Kcnmb2	potassium large conductance calcium-activated channel, subfamily M, beta member 2
Tpx2	TPX2, microtubule-associated
Abhd5	abhydrolase domain containing 5
Bmp7	bone morphogenetic protein 7
Gm17281	predicted gene, 17281
Iyd	iodotyrosine deiodinase
Gm12947	predicted gene 12947
Gm15329	NA
Npr3	natriuretic peptide receptor 3
Vmn1r-ps83	vomeronasal 1 receptor, pseudogene 83
Gm5773	TD and POZ domain containing 2 pseudogene
Wnt9b	wingless-type MMTV integration site family, member 9B
Zc3hav1	zinc finger CCCH type, antiviral 1
Pou3f4	POU domain, class 3, transcription factor 4
Tank	TRAF family member-associated Nf-kappa B activator
Gm13916	60S ribosomal protein L13 pseudogene
Bambi-ps1	BMP and activin membrane-bound inhibitor, pseudogene (Xenopus laevis)
Pdzd8	PDZ domain containing 8
Gm11962	polymerase (RNA) II (DNA directed) polypeptide D pseudogene
Pate4	prostate and testis expressed 4
Gprin3	GPRIN family member 3
Gm6164	NA
Tmcc3	transmembrane and coiled coil domains 3
Rab4a	RAB4A, member RAS oncogene family
6330403A02Rik	NA
Gm23151	predicted gene, 23151
Ptges2	prostaglandin E synthase 2
Gm24131	predicted gene, 24131
Tmem123	transmembrane protein 123
Gm25643	NA
Olfr398	NA
Tceal5	transcription elongation factor A (SII)-like 5
Gm7627	predicted gene 7627
Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
Adora3	adenosine A3 receptor
Gm17200	NA
Rap1a	RAS-related protein 1a
Wnt4	wingless-type MMTV integration site family, member 4
Uty	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked
4933421O10Rik	RIKEN cDNA 4933421O10 gene
Olfr1246	NA
Gm17382	predicted gene, 17382
Rtel1	regulator of telomere elongation helicase 1
Gm23932	predicted gene, 23932
Noc4l	NOC4 like
Igkv17-134	immunoglobulin kappa chain variable 17-134
Krt71	keratin 71
Spag6	sperm associated antigen 6
Mir195	NA
9530046B11Rik	RIKEN cDNA 9530046B11 gene
Rgs16	regulator of G-protein signaling 16
Gm6536	predicted gene 6536
Wdr44	WD repeat domain 44
Krtap5-5	keratin associated protein 5-5
Nos3	nitric oxide synthase 3, endothelial cell
Gm24938	NA
A230108P19Rik	RIKEN cDNA A230108P19 gene
Larp1b	La ribonucleoprotein 1B
Gm11579	predicted gene 11579
Gm13868	60S ribosomal protein L37 pseudogene
Gm23057	predicted gene, 23057
Gm22935	predicted gene, 22935
Ighv1-24	immunoglobulin heavy variable V1-24
Gm15915	predicted gene 15915
Vstm2b	V-set and transmembrane domain containing 2B
Rnf157	ring finger protein 157
Spg11	SPG11, spatacsin vesicle trafficking associated
Gm10036	ribosomal protein L11 pseudogene
Timm9	translocase of inner mitochondrial membrane 9
Tctn3	tectonic family member 3
Gm22317	predicted gene, 22317
Gm12630	ribosomal protein L7A pseudogene
Gpr128	NA
Gm8303	lysyl-tRNA synthetase pseudogene
Mcm2	minichromosome maintenance complex component 2
1700001G17Rik	RIKEN cDNA 1700001G17 gene
Shpk	sedoheptulokinase
Gm14517	predicted gene 14517
Olfr309	NA
Zfp526	zinc finger protein 526
Gm16513	NA
Gm8079	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Mier3	MIER family member 3
Actr5	ARP5 actin-related protein 5
Chat	choline acetyltransferase
Gm16725	predicted gene, 16725
Gm11922	predicted gene 11922
Ero1lb	NA
Mir148b	microRNA 148b
Lcp2	lymphocyte cytosolic protein 2
Slc25a18	solute carrier family 25 (mitochondrial carrier), member 18
Krt5	keratin 5
Gm9837	predicted gene 9837
Lysmd1	LysM, putative peptidoglycan-binding, domain containing 1
Smndc1	survival motor neuron domain containing 1
Gm8207	predicted gene 8207
Gm22420	NA
Gm22363	predicted gene, 22363
Gm17052	WD repeat and HMG-box DNA binding protein 1 pseudogene
Tmed4	transmembrane p24 trafficking protein 4
Vmn2r-ps79	vomeronasal 2, receptor, pseudogene 79
Mir762	microRNA 762
Gm17232	predicted gene 17232
Gm21308	predicted gene, 21308
Ly86	lymphocyte antigen 86
Cenpe	centromere protein E
Vmn1r232	vomeronasal 1 receptor 232
Chordc1	cysteine and histidine rich domain containing 1
Dcaf6	DDB1 and CUL4 associated factor 6
Pik3c2g	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
Rnf130	ring finger protein 130
Gm23409	NA
Gm12944	60S ribosomal protein L21 pseudogene
Mir150	microRNA 150
Gm11750	predicted gene 11750
Pla2g16	NA
Col9a1	collagen, type IX, alpha 1
Pkib	protein kinase inhibitor beta, cAMP dependent, testis specific
Gm13124	NA
Mtf2	metal response element binding transcription factor 2
Gm3326	ribosomal protein L3 pseudogene
Gm15941	predicted gene 15941
Gm11834	NA
Slco5a1	solute carrier organic anion transporter family, member 5A1
Gm15746	predicted gene 15746
E030010N08Rik	NA
Gm14174	NA
Zfp865	zinc finger protein 865
Gm2832	predicted gene 2832
Gm13684	NA
Krt28	keratin 28
Mrpl15	mitochondrial ribosomal protein L15
Gm20882	predicted gene, 20882
Cand2	cullin associated and neddylation dissociated 2 (putative)
Ugt1a8	UDP glucuronosyltransferase 1 family, polypeptide A8
Olfr488	NA
Gm24453	predicted gene, 24453
Sorcs1	sortilin-related VPS10 domain containing receptor 1
Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta
Mis18a	MIS18 kinetochore protein A
Gm4912	melanoma antigen, family B, 2 pseudogene
Fam199x	family with sequence similarity 199, X-linked
Trav6-2	T cell receptor alpha variable 6-2
Gm24027	predicted gene, 24027
Gm25354	predicted gene, 25354
Syt4	synaptotagmin IV
Gm22102	NA
9530036O11Rik	RIKEN cDNA 9530036O11Rik
Rps15a-ps8	ribosomal protein S15A, pseudogene 8
Derl1	Der1-like domain family, member 1
Gm21617	predicted gene, 21617
Reln	reelin
Mir453	microRNA 453
Gm21922	predicted gene, 21922
F830001A07Rik	RIKEN cDNA F830001A07 gene
Gpc4	glypican 4
Tnnt3	troponin T3, skeletal, fast
Yeats2	YEATS domain containing 2
Gm6787	proteasome (prosome, macropain) subunit, beta type 7 pseudogene
Lrfn5	leucine rich repeat and fibronectin type III domain containing 5
Pcnt	pericentrin (kendrin)
RP23-264P8.1	NA
Ralyl	RALY RNA binding protein-like
Ifna14	interferon alpha 14
Mir466d	microRNA 466d
Emilin1	elastin microfibril interfacer 1
Rmdn1	regulator of microtubule dynamics 1
Cpvl	carboxypeptidase, vitellogenic-like
Psmd1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
Nmt2	N-myristoyltransferase 2
Gm15705	NA
Gm15145	NA
Gm13363	predicted gene 13363
Gm4980	NA
Gapdhs	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
Gm26283	predicted gene, 26283
Gm12685	NA
Gm23610	predicted gene, 23610
Gm15161	NA
mmu-mir-6944	NA
Gm24994	predicted gene, 24994
Arl2bp	ADP-ribosylation factor-like 2 binding protein
Rbm41	RNA binding motif protein 41
Gm10101	predicted gene 10101
Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha
9330154J02Rik	RIKEN cDNA 9330154J02 gene
L3mbtl4	L3MBTL4 histone methyl-lysine binding protein
Olfr1220	NA
Mir302d	microRNA 302d
Gm9994	NA
Gm12633	zinc finger protein 352 pseudogene
Gm12504	NA
Gm21188	NA
Rhobtb3	Rho-related BTB domain containing 3
Gm14854	predicted gene 14854
Gm26583	predicted gene, 26583
Adal	adenosine deaminase-like
Dpf1	double PHD fingers 1
Gm22776	predicted gene, 22776
Adra1b	adrenergic receptor, alpha 1b
Olfr410	NA
Phgdh	3-phosphoglycerate dehydrogenase
Gm10713	NA
Fcf1	FCF1 rRNA processing protein
Emc2	ER membrane protein complex subunit 2
Gm24006	predicted gene, 24006
Gm5558	peptidyl-prolyl cis-trans isomerase A pseudogene 5_892.1
Gm22220	predicted gene, 22220
Gale	galactose-4-epimerase, UDP
Gm24915	NA
Gm10680	predicted gene 10680
Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1
Ghrh	growth hormone releasing hormone
A730046J19Rik	NA
Snai3	snail family zinc finger 3
Phactr3	phosphatase and actin regulator 3
Kcnq3	potassium voltage-gated channel, subfamily Q, member 3
Fam135a	family with sequence similarity 135, member A
Mnx1	motor neuron and pancreas homeobox 1
Clec4n	C-type lectin domain family 4, member n
Oprm1	opioid receptor, mu 1
Cyp4a31	cytochrome P450, family 4, subfamily a, polypeptide 31
RP23-142E18.5	NA
Mep1a	meprin 1 alpha
Gm22055	predicted gene, 22055
Abcd2	ATP-binding cassette, sub-family D member 2
Adm	adrenomedullin
Gm26562	predicted gene, 26562
Gm19965	predicted gene, 19965
Gzmm	granzyme M (lymphocyte met-ase 1)
Ighv1-59	immunoglobulin heavy variable V1-59
Tnnc1	troponin C, cardiac/slow skeletal
RP23-117B4.1	NA
Olfr598	NA
Tubgcp3	tubulin, gamma complex component 3
uc_338	NA
Gm17221	NA
Psd4	pleckstrin and Sec7 domain containing 4
Gm6370	predicted gene 6370
Mir377	microRNA 377
Gap43	growth associated protein 43
Fbxo24	F-box protein 24
Gm13215	predicted gene 13215
Apol7e	apolipoprotein L 7e
Clps	colipase, pancreatic
Crry-ps	complement receptor related protein, pseudogene
Stac	src homology three (SH3) and cysteine rich domain
Qars	NA
Gm23676	predicted gene, 23676
Gm3008	predicted gene 3008
GM16522	NA
Gm6177	ribosomal protein L23A pseudogene
Gm11728	predicted gene 11728
Gm6065	peptidylprolyl isomerase A pseudogene 7_184.1
Wrap73	WD repeat containing, antisense to Trp73
Gm23479	predicted gene, 23479
Gm12472	predicted gene 12472
Prame	NA
2610020H08Rik	NA
Gm10087	predicted gene 10087
Gm20841	predicted gene, 20841
Gm23958	predicted gene, 23958
Olfr17	NA
Vamp7-ps	vesicle-associated membrane protein 7, pseudogene
Sult1e1	sulfotransferase family 1E, member 1
Sft2d1	SFT2 domain containing 1
Gm24153	predicted gene, 24153
Gm21477	predicted gene, 21477
Slc43a3	solute carrier family 43, member 3
Cnbp	cellular nucleic acid binding protein
4930456L15Rik	RIKEN cDNA 4930456L15 gene
Hnrnph2	heterogeneous nuclear ribonucleoprotein H2
Gm26711	NA
S100a16	S100 calcium binding protein A16
Gm14226	predicted gene 14226
1700129C05Rik	RIKEN cDNA 1700129C05 gene
Vmn1r221	vomeronasal 1 receptor 221
Urgcp	upregulator of cell proliferation
Crhbp	corticotropin releasing hormone binding protein
Gm3532	predicted gene 3532
Gm26533	predicted gene, 26533
Psap	prosaposin
mmu-mir-6407	NA
Olfr1503-ps1	NA
Gm16110	NA
Fcgbp	Fc fragment of IgG binding protein
1110004E09Rik	NA
Gm14355	predicted gene 14355
Gm21677	NA
Nup35	nucleoporin 35
Mras	muscle and microspikes RAS
Tulp4	TUB like protein 4
Gm24540	predicted gene, 24540
AU040972	expressed sequence AU040972
Gpr15	G protein-coupled receptor 15
Gm4207	vomeronasal 1 receptor Vmn1r-ps81 pseudogene
Taar1	trace amine-associated receptor 1
Cd37	CD37 antigen
Zfp54	zinc finger protein 54
Mir3082	microRNA 3082
Gm12052	predicted gene 12052
Ccdc93	coiled-coil domain containing 93
A630031M04Rik	RIKEN cDNA A630031M04 gene
Parvg	parvin, gamma
mmu-mir-21b	NA
Slc45a1	solute carrier family 45, member 1
Gm26197	NA
Actl10	actin-like 10
Cntnap5a	contactin associated protein-like 5A
Gm25935	predicted gene, 25935
2700033N17Rik	RIKEN cDNA 2700033N17 gene
Lpar5	lysophosphatidic acid receptor 5
Gm22160	NA
Gm17315	predicted gene, 17315
A930017M01Rik	Smg-5 homolog, nonsense mediated mRNA decay factor pseudogene
Gnat1	G protein subunit alpha transducin 1
Gtf2h4	general transcription factor II H, polypeptide 4
Gm12191	ribosomal protein L30 pseudogene
1700094C10Rik	NA
Gm12589	predicted gene 12589
Olfr1332-ps1	NA
Gm12174	predicted gene 12174
Slc9a3r2	NA
4933425L06Rik	NA
Mbnl1	muscleblind like splicing regulator 1
Gm8051	SUMO-conjugating enzyme UBC9 pseudogene
Iqcf5	IQ motif containing F5
Gm23831	predicted gene, 23831
Zar1	zygote arrest 1
1700120C18Rik	RIKEN cDNA 1700120C18 gene
B3gat2	beta-1,3-glucuronyltransferase 2
Dusp5	dual specificity phosphatase 5
Gm23846	predicted gene, 23846
1700086L19Rik	RIKEN cDNA 1700086L19 gene
Gm10097	predicted gene 10097
Nrtn	neurturin
Tbx4	T-box 4
Hsf5	heat shock transcription factor family member 5
8430437L04Rik	RIKEN cDNA 8430437L04 gene
Stk3	serine/threonine kinase 3
Gm12130	predicted gene 12130
Gm16134	NA
Gm20803	predicted gene, 20803
Gm10126	ribosomal protein S29 pseudogene
Zdhhc19	zinc finger, DHHC domain containing 19
Mmab	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)
Gm16073	ribosomal protein S2 pseudogene
Fgd5	FYVE, RhoGEF and PH domain containing 5
Pdia5	protein disulfide isomerase associated 5
Gm21443	predicted gene, 21443
Slc25a44	solute carrier family 25, member 44
Gm22442	predicted gene, 22442
mmu-mir-6375	NA
Rarg	retinoic acid receptor, gamma
Glrx3	glutaredoxin 3
4930438E09Rik	RIKEN cDNA 4930438E09 gene
Gm26541	NA
AC132444.4	NA
Mesp1	mesoderm posterior 1
Xist_exon4	NA
Ighv2-5	immunoglobulin heavy variable 2-5
Mief1	mitochondrial elongation factor 1
Gm22133	NA
Rev3l	REV3 like, DNA directed polymerase zeta catalytic subunit
Tmem116	transmembrane protein 116
Gm16174	predicted gene 16174
Gm14130	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Plek	pleckstrin
Gm13362	NA
Kcnq2	potassium voltage-gated channel, subfamily Q, member 2
Gm13141	60S ribosomal protein L29 pseudogene
Gm14005	NA
Ccnt2	cyclin T2
Gm8601	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm13280	NA
Gm5478	predicted pseudogene 5478
Pcsk5	proprotein convertase subtilisin/kexin type 5
Gm11560	Y box protein 1 pseudogene
Gm5407	predicted gene 5407
Skint3	selection and upkeep of intraepithelial T cells 3
9330133O14Rik	RIKEN cDNA 9330133O14 gene
2310011J03Rik	RIKEN cDNA 2310011J03 gene
Cd27	CD27 antigen
Cyp2j5	cytochrome P450, family 2, subfamily j, polypeptide 5
Olfr429	NA
Gm24365	NA
Olfr1300-ps1	NA
Gm15678	NA
Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2
Gm20612	NA
A830073O21Rik	RIKEN cDNA A830073O21 gene
Lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
Nmi	N-myc (and STAT) interactor
Gm20736	predicted gene, 20736
Gm15635	NA
Chac2	ChaC, cation transport regulator 2
Pias2	protein inhibitor of activated STAT 2
Prune2	prune homolog 2
Gm5918	NA
Dscc1	DNA replication and sister chromatid cohesion 1
Gm10260	NA
Gm9507	NA
Olfr787	NA
Mad2l1	MAD2 mitotic arrest deficient-like 1
Gm10334	NA
mmu-mir-6357	NA
n-R5s157	NA
Gm25126	predicted gene, 25126
Gm24657	predicted gene, 24657
Osbpl1a	oxysterol binding protein-like 1A
Itgb6	integrin beta 6
1810059H22Rik	RIKEN cDNA 1810059H22 gene
Slc16a12	solute carrier family 16 (monocarboxylic acid transporters), member 12
Nop10	NOP10 ribonucleoprotein
Gm14587	NA
Gm12878	NA
Il1f6	NA
Slc25a21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21
Mob1b	MOB kinase activator 1B
Cyp2c67	cytochrome P450, family 2, subfamily c, polypeptide 67
Aadacl2	arylacetamide deacetylase like 2
Traj33	T cell receptor alpha joining 33
Gm7696	predicted gene 7696
Gm12214	NA
Fam96b	NA
Gm13003	predicted gene 13003
Actl9	actin-like 9
Gm13420	NA
BC107364	cDNA sequence BC107364
Olfr908	olfactory receptor 908
Stard8	StAR related lipid transfer domain containing 8
Stbd1	starch binding domain 1
Ctsk	cathepsin K
Gm14913	tousled-like kinase 1 pseudogene
Gm12465	NA
Lca5	Leber congenital amaurosis 5 (human)
3000002C10Rik	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Mir465b-2	microRNA 465b-2
n-R5s164	NA
Gm23916	NA
Angptl2	angiopoietin-like 2
Gm7071	predicted gene 7071
Cdyl2	chromodomain protein, Y chromosome-like 2
Plekhs1	pleckstrin homology domain containing, family S member 1
2810408M09Rik	NA
Defb15	defensin beta 15
Hipk3	homeodomain interacting protein kinase 3
Rgsl1	regulator of G-protein signaling like 1
Gm13185	NA
Tbc1d12	TBC1D12: TBC1 domain family, member 12
Gm15219	NA
Olfr775	NA
Gm22184	NA
Afm	afamin
Cabp1	calcium binding protein 1
H3f3a-ps2	H3.3 histone A, pseudogene 2
Tmco5b	transmembrane and coiled-coil domains 5B
mmu-mir-6390	NA
Cxcl5	C-X-C motif chemokine ligand 5
Gm23538	predicted gene, 23538
Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
n-R5s69	NA
Ik	IK cytokine
Nbl1	NBL1, DAN family BMP antagonist
Defa-rs7	NA
Gm9493	40S ribosomal protein S7 pseudogene
Tmem176a	transmembrane protein 176A
Polr3c	polymerase (RNA) III (DNA directed) polypeptide C
Glis3	GLIS family zinc finger 3
Igha	immunoglobulin heavy constant alpha
Birc7	baculoviral IAP repeat-containing 7
Prim1	DNA primase, p49 subunit
Manbal	mannosidase, beta A, lysosomal-like
Mir5107	microRNA 5107
Gm2895	predicted gene 2895
Foxd3	forkhead box D3
Usp21	ubiquitin specific peptidase 21
Gm10935	predicted gene 10935
Polr2m	polymerase (RNA) II (DNA directed) polypeptide M
Gm5160	peptidylprolyl isomerase A pseudogene chr18_148.1
Mlc1	megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human)
Mup-ps19	major urinary protein, pseudogene 19
Gm7847	predicted gene 7847
Gm12639	UPF0711 protein C18orf21 homolog
Igkv14-130	immunoglobulin kappa variable 14-130
Rhpn2	rhophilin, Rho GTPase binding protein 2
Mir146b	microRNA 146b
Gm5386	thyroid hormone receptor associated protein 3 pseudogene
4931415C17Rik	RIKEN cDNA 4931415C17 gene
Casq1	calsequestrin 1
Zfand2b	zinc finger, AN1 type domain 2B
Gm23562	NA
Zfp219	zinc finger protein 219
Cep170b	centrosomal protein 170B
Gm23983	NA
RP24-325L16.1	NA
Mgst2	microsomal glutathione S-transferase 2
Gsdmc4	gasdermin C4
Rpl10-ps1	ribosomal protein L10, pseudogene 1
6430590A07Rik	RIKEN cDNA 6430590A07 gene
Gm14861	predicted gene 14861
Gm11344	NA
Snora5c	small nucleolar RNA, H/ACA box 5C
Gm15928	predicted gene 15928
Slco4c1	solute carrier organic anion transporter family, member 4C1
Gm10163	60S ribosomal protein L21 pseudogene
Atf6	activating transcription factor 6
Gm23895	predicted gene, 23895
Gm13686	NA
Gm25235	predicted gene, 25235
Gm14834	prohibitin pseudogene
Gm12023	NA
Gm14321	predicted gene 14321
5430400D12Rik	RIKEN cDNA 5430400D12 gene
Gm14884	NA
Gm6277	predicted gene 6277
A230059L01Rik	RIKEN cDNA A230059L01 gene
RP23-199B2.4	NA
Olfr971	NA
Gm22789	predicted gene, 22789
BC068157	NA
Vmn1r-ps132	vomeronasal 1 receptor, pseudogene 132
Serpinb9g	serine (or cysteine) peptidase inhibitor, clade B, member 9g
Meis2	Meis homeobox 2
Rlf	rearranged L-myc fusion sequence
Tcrg-V4	NA
Insig2	insulin induced gene 2
Olfr659	NA
Gm20806	predicted gene, 20806
Gm12065	NA
Dctn1	dynactin 1
Gm26174	NA
A930104D05Rik	RIKEN cDNA A930104D05 gene
Tspyl4	TSPY-like 4
Gm25196	NA
Gm13168	NA
Slc5a11	solute carrier family 5 (sodium/glucose cotransporter), member 11
Gm23129	predicted gene, 23129
Mir466f-3	microRNA 466f-3
Shisa9	shisa family member 9
Syt10	synaptotagmin X
Fcrlb	Fc receptor-like B
Gm14609	crumbs homolog 1 pseudogene
Gm15637	predicted gene 15637
Gm13721	NA
Gm6083	developmental pluripotency associated 5 pseudogene
Ighd6-1	immunoglobulin heavy diversity 6-1
Zic2	zinc finger protein of the cerebellum 2
4930451I11Rik	RIKEN cDNA 4930451I11 gene
Gm26610	NA
Ndufb5	NADH:ubiquinone oxidoreductase subunit B5
Gm13127	microspherule protein 1 pseudogene
mmu-mir-8099-2	NA
Mterfd1	NA
Gm15489	predicted gene 15489
Limd1	LIM domains containing 1
1700012C08Rik	NA
Amd-ps4	S-adenosylmethionine decarboxylase, pseudogene 4
Gm26567	predicted gene, 26567
Fam122c	NA
AL669834.1	NA
Mvd	mevalonate (diphospho) decarboxylase
Tcfl5	transcription factor-like 5 (basic helix-loop-helix)
Defa2	defensin, alpha, 2
Cpsf4	cleavage and polyadenylation specific factor 4
Gm20865	predicted gene, 20865
D630004N19Rik	RIKEN cDNA D630004N19 gene
Serpina3b	serine (or cysteine) peptidase inhibitor, clade A, member 3B
Ahr	aryl-hydrocarbon receptor
Gm16400	vomeronasal 2, receptor 121 pseudogene
Gm22505	predicted gene, 22505
RP23-100J17.7	NA
Gm24551	NA
Cyp4f15	cytochrome P450, family 4, subfamily f, polypeptide 15
Gm12799	RNA binding motif protein 10 pseudogene
Dhx58	DExH-box helicase 58
Gm2825	NA
Ddit3	DNA-damage inducible transcript 3
Slc16a4	solute carrier family 16 (monocarboxylic acid transporters), member 4
Slc7a3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3
Gm21717	NA
Gm24647	NA
Nufip1	nuclear FMR1 interacting protein 1
Olfr722	NA
Gpr115	NA
Chchd1	coiled-coil-helix-coiled-coil-helix domain containing 1
Slc25a24	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24
Nms	neuromedin S
C230004F18Rik	NA
Snord49a	small nucleolar RNA, C/D box 49A
Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
Gm24286	predicted gene, 24286
Gm22516	predicted gene, 22516
Grb2	growth factor receptor bound protein 2
Gm3809	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Olfr1324	NA
Asb13	ankyrin repeat and SOCS box-containing 13
Srcap	Snf2-related CREBBP activator protein
Gm14431	NA
Ighv10-3	immunoglobulin heavy variable V10-3
Gdf1	growth differentiation factor 1
Mir493	microRNA 493
Dmtf1	cyclin D binding myb like transcription factor 1
Gm11273	NA
Tbx2	T-box 2
Midn	midnolin
Gm22188	NA
Gm8816	RNA binding motif protein 39 pseudogene
Abcg1	ATP binding cassette subfamily G member 1
Impdh1	inosine monophosphate dehydrogenase 1
Pdzk1ip1	PDZK1 interacting protein 1
Nsd1	nuclear receptor-binding SET-domain protein 1
Capn5	calpain 5
Gm24843	predicted gene, 24843
Gm23080	predicted gene, 23080
Igdcc3	immunoglobulin superfamily, DCC subclass, member 3
Ssr1	signal sequence receptor, alpha
Thap11	THAP domain containing 11
Gm14277	Small nuclear ribonucleoprotein Sm D1 (snRNP core protein D1) (Sm-D1) (Sm-D autoantigen)
Gm8878	armadillo repeat containing, X-linked 5 pseudogene
Ppil6	peptidylprolyl isomerase (cyclophilin)-like 6
Olfr715	NA
Znhit1	zinc finger, HIT domain containing 1
Nipa2	non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human)
Olfr811	NA
